Mote id,distancia,success_rate,loss_count,varianza,longest_loss_streak
Mote1,20,0.9413333333333334,176,0.05524330332333009,28
Mote2,20,0.888,336,0.09948916305435039,80
Mote3,20,1.0,0,0.0,0
Mote4,20,0.3963333333333333,1811,0.23933299988885046,144
Mote5,20,0.8736666666666667,379,0.1104100255640718,86
Mote6,20,0.8836666666666667,349,0.10283416694453741,54
Mote7,20,0.8446666666666667,466,0.13124863843503165,86
Mote8,20,0.991,27,0.008921973991331279,12
Mote9,20,0.6376666666666667,1087,0.23112493053240718,241
Mote10,20,0.38,1860,0.23567855951985436,317
Mote11,20,0.8263333333333334,521,0.14355440702456823,127
Mote12,20,0.995,15,0.004976658886295823,11
Mote13,20,0.8576666666666667,427,0.12211526064243167,127
Mote14,20,0.7456666666666667,763,0.18971112593085465,295
Mote15,20,0.9076666666666666,277,0.08383583416694484,69
Mote1,20,0.2833333333333333,2150,0.20312326330998587,182
Mote2,20,0.9013333333333333,296,0.08896120929198356,134
Mote3,20,0.9986666666666667,4,0.0013319995554074144,2
Mote4,20,0.24166666666666667,2275,0.18332499722129636,316
Mote5,20,0.6483333333333333,1055,0.22807324663775466,160
Mote6,20,0.7893333333333333,632,0.16634166944538373,127
Mote7,20,0.8343333333333334,497,0.13826731132599063,77
Mote8,20,0.997,9,0.0029919973324445057,9
Mote9,20,0.53,1410,0.24918306102033191,211
Mote10,20,0.3456666666666667,1963,0.22625664110258153,244
Mote11,20,0.77,690,0.1771590530176799,133
Mote12,20,1.0,0,0.0,0
Mote13,20,0.8643333333333333,407,0.1173003223296695,72
Mote14,20,0.8693333333333333,392,0.11363076581082203,57
Mote15,20,0.856,432,0.12330510170056536,154
Mote1,25,0.7803333333333333,659,0.17147037901523887,38
Mote2,25,0.16766666666666666,2497,0.1396010892519759,359
Mote3,25,0.9756666666666667,73,0.023749138601758753,8
Mote4,25,0.7296666666666667,811,0.19731899522063825,34
Mote5,25,0.8043333333333333,587,0.15743370012226937,61
Mote6,25,0.04033333333333333,2879,0.038719462042902664,633
Mote7,25,0.9473333333333334,158,0.049909525397353466,7
Mote8,25,0.664,1008,0.22317839279759064,72
Mote9,25,0.474,1578,0.24940713571190062,131
Mote10,25,0.372,1884,0.23369389796597334,133
Mote11,25,0.09866666666666667,2704,0.08896120929198598,371
Mote12,25,0.8736666666666667,379,0.11041002556407159,54
Mote13,25,0.8243333333333334,527,0.14485617428031636,71
Mote14,25,0.8266666666666667,520,0.1433366677781553,76
Mote15,25,0.9243333333333333,227,0.06996454373679793,38
Mote1,25,0.848,456,0.1289389796598793,58
Mote2,25,0.598,1206,0.24047615871958175,153
Mote3,25,0.9703333333333334,89,0.02879615427364953,10
Mote4,25,0.7366666666666667,790,0.1940535734133559,50
Mote5,25,0.9126666666666666,262,0.07973279982215778,105
Mote6,25,0.10033333333333333,2699,0.09029665444036715,220
Mote7,25,0.7983333333333333,605,0.1610509058575177,73
Mote8,25,0.8893333333333333,332,0.09845237301321759,107
Mote9,25,0.2723333333333333,2183,0.19823396687785028,265
Mote10,25,0.6346666666666667,1096,0.2319422029565428,115
Mote11,25,0.5823333333333334,1253,0.24330232299656762,84
Mote12,25,0.9253333333333333,224,0.06911459375347538,70
Mote13,25,0.848,456,0.1289389796598793,58
Mote14,25,0.7366666666666667,790,0.1940535734133559,50
Mote15,25,0.7983333333333333,605,0.1610509058575177,73
